item_id,brand_id,code,rgb,series_id,pencil_name,color_id,order,inv_qty,wish_qty
14140113,45853241,OP 434,"{""b"": 190, ""g"": 133, ""r"": 175}",NULL,"{""en"": ""mauve"", ""ja"": ""モーブ""}",NULL,108,0,0
14472849,93698434,125,"{""b"": 139, ""g"": 64, ""r"": 195}",NULL,"{""en"": ""middle purple pink"", ""ja"": """"}",NULL,28,0,0
14585714,45853241,OP 326,"{""b"": 227, ""g"": 177, ""r"": 125}",NULL,"{""en"": ""forget-me-not blue"", ""ja"": ""フォゲットミーノットブルー""}",NULL,90,0,0
14703355,45853241,OP 339,"{""b"": 191, ""g"": 128, ""r"": 104}",NULL,"{""en"": ""smalt blue"", ""ja"": ""スマルトブルー""}",NULL,93,0,0
15202301,93698434,166,"{""b"": 95, ""g"": 194, ""r"": 118}",NULL,"{""en"": ""grass green"", ""ja"": """"}",NULL,66,0,0
15297296,45853241,OP 047,"{""b"": 48, ""g"": 97, ""r"": 236}",NULL,"{""en"": ""tiger lily"", ""ja"": ""タイガーリリー""}",NULL,12,0,0
15383408,93698434,180,"{""b"": 74, ""g"": 115, ""r"": 154}",NULL,"{""en"": ""raw umber"", ""ja"": """"}",NULL,96,0,0
15576489,45853241,OP 040,"{""b"": 107, ""g"": 57, ""r"": 205}",NULL,"{""en"": ""rose"", ""ja"": ""ローズ""}",NULL,7,0,0
15633556,45853241,OP 248,"{""b"": 142, ""g"": 106, ""r"": 31}",NULL,"{""en"": ""peacock green"", ""ja"": ""ピーコックグリーン""}",NULL,66,0,0
15893117,93698434,187,"{""b"": 99, ""g"": 151, ""r"": 216}",NULL,"{""en"": ""burnt ochre"", ""ja"": """"}",NULL,89,0,0
16915523,45853241,OP 292,"{""b"": 64, ""g"": 124, ""r"": 84}",NULL,"{""en"": ""cactus green"", ""ja"": ""カクタスグリーン""}",NULL,83,0,0
17838357,45853241,OP 443,"{""b"": 125, ""g"": 48, ""r"": 84}",NULL,"{""en"": ""iris"", ""ja"": ""アイリス""}",NULL,113,0,0
18490274,45853241,OP 099,"{""b"": 34, ""g"": 58, ""r"": 137}",NULL,"{""en"": ""brown"", ""ja"": ""ブラウン""}",NULL,28,0,0
18503647,93698434,104,"{""b"": 111, ""g"": 239, ""r"": 243}",NULL,"{""en"": ""light yellow glaze"", ""ja"": """"}",743,4,0,0
